sig_id	canonical_smiles
CPC018_MCF7_24H:BRD-K06817181-001-01-5:10	BrC1C(Br)C(Br)C(Br)C(Br)C1Br
CPC016_MCF7_24H:BRD-K97118047-001-02-0:10	Brc1c(Br)c(Br)c2[nH]nnc2c1Br
CPC020_MCF7_24H:BRD-K68264559-001-09-2:10	Brc1c(NC2=NCCN2)ccc2nccnc12
CPC010_MCF7_24H:BRD-K23980805-019-03-4:10	Brc1c[nH]c2nc(SCc3ccccc3C#N)nc2c1
CPC008_MCF7_24H:BRD-A83255679-001-09-8:10	Brc1cc2OCOc2cc1C3Nc4ccccc4C5C=CCC53
CPC017_MCF7_24H:BRD-K27737647-300-01-4:10	Brc1ccc(C=CCNCCNS(=O)(=O)c2cccc3cnccc23)cc1
CPC007_MCF7_24H:BRD-K27484191-001-07-4:10	Brc1ccc(CSc2nnc(c3ccccn3)n2Cc4ccco4)cc1
LKCP002_MCF7_24H:K13	Brc1ccc(Cn2cncc2Cn2cc(C(=O)N3CCOCC3)c(c2)-c2cccc3ccccc23)cc1
CPC010_MCF7_24H:BRD-K80184735-001-02-8:10	Brc1ccc(NC(=O)C2(CCCCC2)N(Cc2ccco2)C(=O)c2ccccn2)cc1
CPC008_MCF7_24H:BRD-K14945759-001-03-2:10	Brc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1
CPC016_MCF7_24H:BRD-K24675965-001-02-5:10	Brc1ccc(NC(=O)N2NC(=O)[C@H]([C@@H]2c2ccccc2)c2ccccc2)cc1
HOG003_MCF7_24H:BRD-K09907482-001-02-5:10	Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1
CPC009_MCF7_24H:BRD-K96405393-001-03-0:10	Brc1ccc(cc1)-c1cc2nc(cc(N3CCN(CC3)C(=O)c3ccoc3)n2n1)-c1ccccc1
CPC009_MCF7_24H:BRD-K10855750-001-01-0:10	Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C#N
CPC009_MCF7_24H:BRD-K94390040-019-01-9:10	Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C(=O)N1CCNCC1
CPC009_MCF7_24H:BRD-K53461563-019-01-4:10	Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C(=O)NCCCc1ccccc1
CPC009_MCF7_24H:BRD-K17739445-019-01-2:10	Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C(=O)NCc1ccccc1
CPC009_MCF7_24H:BRD-K68020183-001-01-9:10	Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)c1nn[nH]n1
CPC009_MCF7_24H:BRD-K92981876-001-01-4:10	Brc1ccc(cc1)-c1csc(n1)N1CCNCC1
CPC014_MCF7_24H:BRD-A25337146-003-07-0:10	Brc1ccc(cc1)C(=O)C(CN2CCOCC2)c3ccccc3
CPC007_MCF7_24H:BRD-K73143528-001-04-0:10	Brc1ccc(cc1)C(=O)OCC#CCSc2nnc(o2)c3cccc4ccccc34
CPC007_MCF7_24H:BRD-K33305493-001-02-9:10	Brc1ccc(nc1)N(CCCNC(=S)NCCCc1c[nH]cn1)Cc1ccccc1
CPC012_MCF7_24H:BRD-K34966483-001-06-0:10	Brc1ccc(o1)C(=O)Nc2ccccc2c3ccccc3
CPC009_MCF7_24H:BRD-K37124285-001-04-8:10	Brc1ccc2CCc3ccccc3C(=O)c2c1
CPC007_MCF7_24H:BRD-K83213280-001-07-0:10	Brc1ccc2N=C3CCCN3Cc2c1
CPC007_MCF7_24H:BRD-A84909344-001-08-6:10	Brc1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1
CPC016_MCF7_24H:BRD-K37312348-001-06-9:10	Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1
CPC006_MCF7_24H:K18	Brc1ccc2ncnc(NCC=C)c2c1
CPC008_MCF7_24H:BRD-K26233379-019-01-5:10	Brc1ccc2oc(NC3=NC4=C(C(=O)CCC4)C4(CCCC4)N3)nc2c1
PBIOA019_MCF7_24H:K19	Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1
CPC009_MCF7_24H:BRD-K60729220-001-04-2:10	Brc1cccc(c1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)c3ccc4OCCOc4c3
CPC008_MCF7_24H:BRD-K45216862-001-01-9:10	Brc1cccc2sc(NC(=O)c3ccc4OCCOc4c3)nc12
CPC013_MCF7_24H:BRD-K04156788-001-01-7:10	Brc1ccccc1C(=O)Nc2ccccc2
CPC007_MCF7_24H:BRD-K94035551-001-02-7:10	Brc1ccccc1CNC(=O)c1cccs1
CPC007_MCF7_24H:BRD-K56658166-001-06-0:10	Brc1ccccc1OCC(=O)NCCc2nc3ccccc3[nH]2
LJP005_MCF7_24H:L19	Brc1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCc1c[nH]cn1
LJP008_MCF7_24H:H01	Brc1cncc(c1)C(=O)N1CCC(CC1)N1CCCC1
CPC009_MCF7_24H:BRD-K33459729-001-01-2:10	Brc1csc(n1)N1CCNCC1
REP.A015_MCF7_24H:H19	C#CCN[C@@H]1CCc2ccccc12
REP.A011_MCF7_24H:N01	C(/C=C/c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4
CPD001_MCF7_24H:BRD-K08619838-300-04-0:10	C(C#CCN1CCCC1)N1CCCC1
HOG001_MCF7_24H:BRD-A19633847-050-20-6:10	C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1
CPC018_MCF7_24H:BRD-K77641333-003-15-6:10	C(C1=NCCN1)c1cccc2ccccc12
CPD001_MCF7_24H:BRD-K46211610-003-20-0:10	C(C1=NCCN1)c1ccccc1
CPC007_MCF7_24H:BRD-K13665914-001-06-2:10	C(C1CCN(CC1)c2ncnc3sccc23)c4ccccc4
CPC018_MCF7_24H:BRD-K25906698-303-01-9:10	C(C1CCNCC1)c1c[nH]cn1
REP.A017_MCF7_24H:N01	C(C1CN2CCC1CC2)N1c2ccccc2Sc2ccccc12
CPD001_MCF7_24H:BRD-K74927006-001-01-2:10	C(C=Cc1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1
CPC017_MCF7_24H:BRD-K62206109-303-01-1:10	C(CC1CCNCC1)Cc2c[nH]cn2
LKCP002_MCF7_24H:G07	C(CN1CCCC1)Oc1ccc2Nc3nccc(n3)-c3cccc(COCC=CCOCc1c2)c3
LJP009_MCF7_24H:K19	C(CN1CCCCC1)Oc1cccc(c1)-c1n[nH]c2ccc(cc12)-c1ncn[nH]1
CPC006_MCF7_24H:E02	C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5
CPC012_MCF7_24H:BRD-K76052538-001-01-4:10	C(CN1CCCCC1)Sc2nnc3c4ccccc4[nH]c3n2
CPC016_MCF7_24H:BRD-K92015269-001-01-6:10	C(CN1CCN(CC=Cc2ccccc2)CC1)OC(c1ccccc1)c1ccccc1
CPC018_MCF7_24H:BRD-K34034388-300-01-0:10	C(CN1CCN(CC=Cc2ccccc2)CC1)OC(c3ccccc3)c4ccccc4
CPC018_MCF7_24H:BRD-K50135270-001-01-9:10	C(CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1
REP.A019_MCF7_24H:B13	C(CN1CCOCC1)Cc1ccc(COc2ccccc2)cc1
CPC016_MCF7_24H:BRD-K19309090-300-03-0:10	C(CN1CCOCC1)Nc1cc2CCCc3ccccc3-c2nn1
CPC012_MCF7_24H:BRD-K48924007-004-01-5:10	C(CN1CCOCC1)Sc2nc3ccccc3n2Cc4ccccc4
CPC016_MCF7_24H:BRD-K23335153-300-01-7:10	C(CNC(c1ccccc1)c1ccccc1)NC(c1ccccc1)c1ccccc1
CPC018_MCF7_24H:BRD-K08996725-313-01-7:10	C(CNc1nc2ccccc2s1)COc1cccc(CN2CCCCC2)c1
CPC018_MCF7_24H:BRD-K77171813-050-01-4:10	C(COCc1ccccc1)Cc1cnc[nH]1
CPC016_MCF7_24H:BRD-K45479396-103-01-2:10	C(COc1ccc2OCOc2c1)CN1CCN(CC1)c1ccccc1
CPC006_MCF7_24H:M20	C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1
CPC005_MCF7_24H:BRD-K80451230-051-01-8:10	C(Cc1ccc2OCOc2c1)N1CCC[C@H](C1)OC(c1ccccc1)c1ccccc1
CPC008_MCF7_24H:BRD-K58999277-019-01-5:10	C(Cc1ccco1)Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1
CPC012_MCF7_24H:BRD-K71574320-300-01-0:10	C(Cn1c2nc(cn2c3ccccc13)c4ccccc4)N5CCOCC5
CPC009_MCF7_24H:BRD-K14171663-001-04-8:10	C(N(Cc1ccccc1)Cc2ccccc2)c3nnc(s3)c4cc5ccccc5[nH]4
CPD001_MCF7_24H:BRD-K99300445-003-16-6:10	C(N(Cc1ccccc1)c1ccccc1)C1=NCCN1
CPC016_MCF7_24H:BRD-K83322645-103-01-6:10	C(N1CCC2(CCc3ccccc23)CC1)c1ccccc1
PBIOA021_MCF7_24H:P19	C(N1CCCNCCNCCCNCC1)c1ccc(CN2CCCNCCNCCCNCC2)cc1
REP.A014_MCF7_24H:L07	C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1
CPC005_MCF7_24H:BRD-K47936004-003-04-9:10	C(N1CCN(CC1)c1ncccn1)c1ccc2OCOc2c1
CPC009_MCF7_24H:BRD-K75477256-001-01-4:10	C(N1CCN(CC1)c1ncnc2sccc12)c1ccccc1
CPC017_MCF7_24H:BRD-K50325075-001-01-3:10	C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)c1cccnc1
CPC008_MCF7_24H:BRD-K01333970-019-01-5:10	C(Nc1ccnc(n1)-c1ccc2OCOc2c1)c1cccnc1
CPC008_MCF7_24H:BRD-K05002121-001-01-8:10	C(Nc1ccnc(n1)N1CCOc2ccccc12)c1ccccc1
PBIOA021_MCF7_24H:M13	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1
CPC008_MCF7_24H:BRD-K57353465-001-01-6:10	C(Nc1nc(nc2ccccc12)N1CCc2ccccc12)c1ccccc1
CPC008_MCF7_24H:BRD-K10846167-001-01-6:10	C(Nc1nc(nc2n(cnc12)-c1ccsc1)N1CCOCC1)c1nc2cc3ccccc3cc2[nH]1
CPC008_MCF7_24H:BRD-K53780220-001-01-0:10	C(Nc1nc(nc2n(cnc12)-c1ccsc1)N1CCOCC1)c1nc2ccccc2[nH]1
CPC012_MCF7_24H:BRD-K08307026-001-01-4:10	C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)C1CCCCC1
PBIOA022_MCF7_24H:E13	C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)c1ccc(cc1)-c1ccccc1
CPC008_MCF7_24H:BRD-K76907295-001-03-8:10	C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)c1cccc(c1)-c1ccccc1
CPD002_MCF7_24H:BRD-K65667145-001-09-0:10	C(Nc1ncnc2[nH]cnc12)c1ccco1
CPC008_MCF7_24H:BRD-K81214387-019-01-7:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CC1
CPC009_MCF7_24H:BRD-K99146421-019-01-9:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CCCC1
CPC009_MCF7_24H:BRD-A83706824-019-01-3:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CCCCO1
CPC008_MCF7_24H:BRD-A96746500-019-01-5:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CCCO1
CPC009_MCF7_24H:BRD-A69421747-019-01-1:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CCCOC1
CPC008_MCF7_24H:BRD-A81377415-019-01-0:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CCOC1
CPC008_MCF7_24H:BRD-K02437976-019-01-7:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)[C@@H]1CCCO1
CPC009_MCF7_24H:BRD-K22449070-019-01-3:10	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)c1nccs1
CPC010_MCF7_24H:BRD-K46645809-001-06-3:10	C(Nc1ncnc2ccc(cc12)c3ccc4OCCOc4c3)c5ccc6OCOc6c5
CPC010_MCF7_24H:BRD-K50532160-001-04-4:10	C(Nc1ncnc2ccc(cc12)c3ccc4OCCOc4c3)c5cccnc5
CPC010_MCF7_24H:BRD-K51140856-001-05-1:10	C(Nc1ncnc2ccc(cc12)c3ccc4OCCOc4c3)c5cccs5
CPC007_MCF7_24H:BRD-K81751891-001-05-6:10	C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)c5cccnc5
CPC007_MCF7_24H:BRD-K70693222-001-08-7:10	C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)c5cccs5
CPC007_MCF7_24H:BRD-K80126354-001-04-5:10	C(Nc1ncnc2ccc(cc12)c3cccnc3)c4ccc5OCOc5c4
CPC007_MCF7_24H:BRD-K28366444-001-04-4:10	C(Nc1ncnc2ccc(cc12)c3cccnc3)c4cccnc4
CPC010_MCF7_24H:BRD-K92932331-001-04-0:10	C(Nc1ncnc2ccc(cc12)c3cccnc3)c4cccs4
CPC008_MCF7_24H:BRD-K30443205-001-05-3:10	C(Nc1ncnc2ccc(cc12)c3ccoc3)c4ccc5OCOc5c4
CPC007_MCF7_24H:BRD-K04779531-001-05-7:10	C(Nc1ncnc2ccc(cc12)c3ccoc3)c4cccnc4
CPC007_MCF7_24H:BRD-K07668032-001-07-9:10	C(Nc1ncnc2ccc(cc12)c3ccoc3)c4cccs4
CPC005_MCF7_24H:BRD-K43796186-001-01-1:10	C(Nc1ncnc2ccccc12)c3ccccc3
CPC009_MCF7_24H:BRD-K00624509-001-01-6:10	C(OCc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1
CPC015_MCF7_24H:BRD-A23683907-334-01-0:10	C(Oc1cccc2C=C(CN3CCOCC3)COc12)C4CNCCO4
CPC018_MCF7_24H:BRD-K54142781-003-02-7:10	C(Oc1ccccc1C1CC1)C1=NCCN1
DPK.CP002_MCF7_24H:BRD-K37846922:10	C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
REP.A017_MCF7_24H:E13	C(c1ccccc1)n1c(nc2ccccc12)N1CCNCC1
CPC010_MCF7_24H:BRD-K19027210-001-04-5:10	C(c1ccccc1)n1ncc2c(ncnc12)N1CCN(CC1)c1ccccc1
CPC010_MCF7_24H:BRD-K32795028-001-10-9:10	C(c1ccccc1)n2ccnc2
CPC015_MCF7_24H:BRD-K49519092-303-01-4:10	C(c1cnc[nH]1)c1ccncc1
PBIOA017_MCF7_24H:O07	C(c1ncco1)n1nc(-c2ccccc2)c2ccccc12
LKCP002_MCF7_24H:C01	C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C
CPC013_MCF7_24H:BRD-K54573313-001-01-6:10	C/C(=C/CC[C@@H](CO)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@@H]4[C@]5(C[C@@]35CC[C@]12C)[C@@H](O)C[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C4(C)C)/CO
